playlist_name;video_id;video_name;publication_date;views;likes;dislikes;favorites;comments;duration
Беды с Башкой;th7qQcirjZw;Как УПРАВЛЯТЬ ЖИЗНЬЮ других людей?;2020-06-19T12:20:03Z;2668112;311344;3557;0;19486;1102
Беды с Башкой;zj90116gN3E;От нас ничего НЕ СКРОЕШЬ;2020-09-15T14:30:50Z;2420550;296234;2143;0;14757;1000
Беды с Башкой;1iYBzkGLQDM;Ошибка Техасского Стрелка | Как узнать правду?;2019-10-04T14:32:00Z;2234068;301870;1889;0;9685;695
Беды с Башкой;4xkmQET2zbo;Феномен Баадера-Майнхоф | Они преследуют меня!;2019-08-14T14:29:27Z;2536875;246451;1984;0;37196;933
Беды с Башкой;e2xLfzdaE9A;Как работает НОСТАЛЬГИЯ?;2019-04-26T15:24:37Z;3014859;263422;2739;0;17780;1111
Беды с Башкой;Q0cGB-2fXAo;Как я могу тебя ОБМАНУТЬ?;2018-12-20T20:41:29Z;3037072;248694;2214;0;12069;999
Что?;L8U35en7TXE;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ;2019-11-09T13:17:15Z;3530270;356074;3725;0;16618;815
Что?;dqYmPJGIW6E;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #2;2019-12-30T13:59:44Z;4231418;449662;2937;0;20569;1240
Что?;KAv928riN-c;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #3;2020-04-13T12:35:50Z;3852814;377220;4731;0;18184;940
Что?;F_G3mVidLqA;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #4;2020-08-27T12:44:23Z;3656422;397494;4395;0;16973;1335
Что?;pad64v85qUw;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #5;2020-10-31T14:13:59Z;3275078;358621;3625;0;21165;1369
Что?;k8FIVugHGSg;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #6;2020-12-31T08:55:54Z;2711404;329092;2686;0;16207;1560
Что?;JDKqXmOX52Q;ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #7;2021-03-08T11:48:54Z;2182152;238439;2298;0;10745;1337
Парадокс Ферми;mPbItxStOQA;Неужели мы совсем ОДНИ?;2019-03-26T18:36:53Z;4522485;376898;3677;0;21882;1696
Парадокс Ферми;nRlrf2jQAOc;Космос, ты нас слышишь?;2019-04-01T14:20:24Z;3315261;213316;2143;0;11219;1592
Мифы;NNhE6qS6i9I;Мифы, в которые мы ВЕРИМ #1;2018-01-23T10:55:53Z;5130471;326505;4677;0;15313;651
Мифы;ENtyeLY3vIU;Мифы, в которые мы верим #2;2018-06-05T20:26:36Z;4493100;280782;4454;0;13793;1052
Мифы;lP8x_rQ9s0Y;Мифы, в которые мы верим #3 | Feat. Артур Шарифов;2018-10-01T15:06:39Z;4647985;267676;5008;0;12422;1221
Мифы;8n_7T2v_wUE;Мифы #4 [Не дикий дикий запад];2018-11-21T09:00:36Z;3523680;225420;2994;0;11992;1602
Мифы;iSjxHDmIACc;МУЗЫКА С ТОГО СВЕТА/Клуб 27;2018-12-07T18:12:47Z;3030514;244685;3746;0;27183;887
Мифы;35MyEO6Q_J0;Мифы, в которые мы верим #5;2019-04-09T16:42:08Z;3647795;376493;3382;0;9503;785
Мифы;RfrxUIN-PC4;Мифы, в которые мы верим #6;2019-06-07T18:34:58Z;4689909;320753;12572;0;17892;1141
Мифы;PNhL4RAGdZU;Мифы, в которые мы верим #7;2019-09-24T11:26:19Z;4062417;326728;2744;0;9989;924
Мифы;yCzv3l143DM;Мифы, в которые мы верим #8;2019-12-23T13:11:27Z;4225206;329575;4798;0;15168;1310
Мифы;kfugSz3m_zA;Мифы, в которые мы верим #9 [Выживание];2020-07-20T11:49:59Z;3687012;413459;4801;0;20372;1460
Мифы;8Ked5y3eDHk;Мифы, в которые мы верим #10 [Дикая природа];2020-07-27T11:36:24Z;3762816;360250;5791;0;23362;1583
Мифы;tQBsAxY5ZuY;Мифы, в которые мы верим #11 [Сыворотка правды];2020-10-20T12:50:49Z;2737052;304441;2621;0;13666;977
С научной точки зрения;z4-AAfwNS8I;Человек-паук с научной точки зрения!;2017-07-09T15:15:53Z;2764555;217432;3353;0;4145;443
С научной точки зрения;DNwTXSrQ6AQ;А ТЫ ДОСТОИН? Тор с НАУЧНОЙ точки зрения;2017-11-14T14:38:51Z;2616850;170613;2044;0;8757;661
С научной точки зрения;n8TqLzsbLcs;СУПЕРГЕРОЙСКАЯ МЕТКОСТЬ с научной точки зрения!;2018-05-03T15:39:25Z;3120723;198209;2796;0;14586;1043
